"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NZL","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","1971",2.3447401774398,
"NZL","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","1972",2.34215885947047,
"NZL","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","1973",2.22804718217562,
"NZL","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","1974",2.62970859985785,
"NZL","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","1975",2.73335271881361,
"NZL","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","1976",3.19403779611392,
"NZL","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","1977",4.00838354728845,
"NZL","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","1978",4.30931290399808,
"NZL","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","1979",5.01581563488477,
"NZL","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","1980",5.42353392104254,
"NZL","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","1981",6.16977225672878,
"NZL","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","1982",7.70762562961228,
"NZL","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","1983",10.0136025949566,
"NZL","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","1984",11.2947158162339,
"NZL","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","1985",10.397090027281,
"NZL","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","1986",11.637900164721,
"NZL","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","1987",11.0313014827018,
"NZL","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","1988",11.8811216959614,
"NZL","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","1989",13.4475241357832,
"NZL","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","1990",14.4935824119964,
"NZL","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","1991",15.6231365533691,
"NZL","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","1992",15.2807543934848,
"NZL","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","1993",13.6085719474544,
"NZL","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","1994",13.6733530295962,
"NZL","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","1995",13.2477642370604,
"NZL","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","1996",12.9697667212607,
